Title,Link,Policy Area,Focus,Country Coverage,Data Format,Authors,Type,Level of Observation,Start Date,End Date,Source,Language,World Region,Provider
Health System Response Monitor,https://www.covid19healthsystem.org/mainpage.aspx,Health and Care Policy, health systems and wider public health initiatives,ALB; AND; ARM; AUT; AZE; BLR; BEL; BIH; BGR; CAN; HRV; CYP; CZE; DNK; EST; FIN; FRA; GEO; DEU; GRC; HUN; ISL; IRL; ISR; ITA; KAZ; KGZ; LVA; LTU; LUX; MLT; MCO; NLD; NOR; OMN; POL; PRT; ROU; RUS; RUS; SMR; SVK; SVN; ESP; SWE; CHE; TJK; TUR; TKM; UKR; GBR; UZB; MNE; SRB, pdf,"[European Observatory on Health Systems and Policies](https://twitter.com/OBShealth);
        [WHO](https://twitter.com/WHO_Europe);
        [EU Commission's DG Health & Food Safety (SANTE)](https://twitter.com/EU_Health);
        [European Commission](https://twitter.com/EU_Commission);
        [Erica Richardson](https://twitter.com/BKMErica)",Policy Tracker,national,2020-04-16,up-to-date,Governmental agencies; Media,,West Europe; Eastern Europe & Central Asia,International organisations; European Union
International Long-Term Care Policy Network resources,https://ltccovid.org,Health and Care Policy, long-term care policy,worldwide; AUS; AUT; BRA; CAN; CHN; DNK; FIN; DEU; HKG; IND; IDN; IRL; ISR; ITA; JAM; JOR; KEN; KOR; MYS; MLT; MEX; NLD; SVN; ZAF; ESP; SWE; TUR; GBR; USA, html; non-downloadable,"[Long-Term Care responses to COVID-19](https://twitter.com/LTCcovid);
        [Adelina ComasHerrera](https://twitter.com/AdelinaCoHe);
        [Klara Lorenz-Dant](https://twitter.com/LorenzKH);
        [LSE Care Policy and Evaluation Centre](https://twitter.com/CPEC_LSE);
        [International Long-term Care Policy Network](https://twitter.com/ilpnetwork)",Policy Tracker,national,2020-03-11,up-to-date,Governmental agencies; International organisations; Academics; Think tanks; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
"Cambridge Core Health Economics, Policy and Law Blog series",https://www.cambridge.org/core/blog/tag/country-responses-to-the-covid19-pandemic/,Health and Care Policy, health and social care policy issues on the national and state-level,worldwide; USA; ALB; AUS; AUT; BEL; BRA; BGR; CAN; CHL; CHN; CZE; DNK; ECU; FIN; FRA; DEU; GRC; IND; IRL; ISR; ITA; JPN; JOR; KOR; MYS; MEX; NLD; NZL; NOR; OMN; POL; PRT; ROU; SGP; ESP; SWE; CHE; TWN; TUR; JEY; SRB, html; non-downloadable,[Cambridge Core](https://twitter.com/CambridgeCore),Policy Tracker,national; sub-national,2020-04-03,2020-08-13,Academics,,worldwide; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
Visualizing regional socioeconomic indicators for Europe,https://covid19.iiasa.ac.at/interactive/,Health and Care Policy; Social and Employment Policy," socioeconomic indicators at the state-level, such as life expectancy and population shares elderly, ratios of doctors and hospital beds to elderly population, or the ratio of tourists to local population",EU; ALB; AUT; BEL; BIH; BGR; HRV; CYP; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ITA; LVA; LIE; LTU; LUX; MLT; NLD; NOR; OMN; POL; PRT; ROU; SVK; SVN; ESP; SWE; CHE; TUR; GBR; MNE; XKX, html; non-downloadable,[IIASA Vienna](https://twitter.com/IIASAVienna); [Asjad Naqvi](https://twitter.com/AsjadNaqvi),Policy Tracker,national; sub-national,2020-03-10,up-to-date,International organisations; Academics; Think tanks,,West Europe; Eastern Europe & Central Asia,Academics
COVID-19 sex-disaggregated data tracker,https://globalhealth5050.org/covid19/,Health and Care Policy; Cases and Deaths; Gender," sex-disaggregated data on cases, deaths, hospitalisations, ICU admissions, age & infections in health care workers",worldwide; AFG; ALB; ARG; AUS; AUT; BGD; BEL; BIH; BFA; CAN; CHN; COL; CRI; CZE; DNK; DMA; DOM; ECU; EST; FIN; DEU; GRC; HTI; IDN; IRL; ISR; ITA; KEN; KOR; KGZ; LVA; LUX; MEX; NLD; NOR; OMN; PAK; PER; PHL; PRT; ROU; ZAF; ESP; SWE; CHE; THA; UKR; USA,csv; xlsx; pdf; html,[Global Health 50/50](https://twitter.com/globalhlth5050),Policy Tracker,national,2020-02-28,up-to-date,Governmental agencies; Think tanks,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Think tanks
The COVID Racial Data Tracker,https://covidtracking.com/race,Health and Care Policy; Cases and Deaths," cases, deaths and negative test results by race and ethnicity on a bi-weekly basis on a state-level.", USA,csv,"[Boston University Center for Antiracist Research](https://twitter.com/AntiracismCtr);
[The COVID Tracking Project](https://twitter.com/COVID19Tracking);
[The Atlantic](https://twitter.com/TheAtlantic)",Policy Tracker,national; sub-national,2020-04-12,2021-03-07,Governmental agencies,,North America,NGOs
The Health Foundation COVID-19 policy tracker,https://www.health.org.uk/news-and-comment/charts-and-infographics/covid-19-policy-tracker,"Health and Care Policy; Research and Innovation; Politics, Elections, Policy Making"," national government and health and social care system responses in five areas: 1. Policy narrative, 2. Measures to limit spread, 3. Health and social care systems responses, 4. Interventions to support R&D, 5. Broader social and economic interventions", GBR, xlsx,"[The Health Foundation](https://twitter.com/healthfdn);
[Hugh Alderwick](https://twitter.com/hughalderwick)",Policy Tracker,national,2020-01-01,2020-12-31,Governmental agencies,,West Europe,NGOs
UNESCO COVID-19 Educational Disruption and Response,https://en.unesco.org/covid19/educationresponse,Education Policy, school closures, worldwide; AFG; ALB; DZA; AGO; ARG; ARM; AUS; AUT; AZE; BGD; BLR; BEL; BLZ; BEN; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; CZE; DNK; DJI; ECU; EGY; SLV; GNQ; EST; ETH; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GTM; GIN; GNB; GUY; HTI; HND; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KWT; KGZ; LVA; LBN; LSO; LBR; LTU; LUX; MDG; MWI; MYS; MLI; MLT; MRT; MUS; MEX; MNG; MAR; MOZ; MMR; NAM; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RWA; SAU; SEN; SGP; SVK; SVN; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TJK; THA; TGO; TON; TUN; TUR; TKM; UGA; UKR; ARE; GBR; URY; UZB; VEN; YEM; ZMB; ZWE; MNE; SRB; SSD; USA,csv;  html,[UNESCO](https://twitter.com/UNESCO),Policy Tracker,national,2020-02-17,up-to-date,International organisations,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
CGD - COVID education policy tracking,https://docs.google.com/spreadsheets/d/1ndHgP53atJ5J-EtxgWcpSfYG8LdzHpUsnb6mWybErYg/edit#gid=0,Education Policy, school closures,worldwide; IND; BRA; NGA; USA; AFG; ALB; DZA; ASM; AND; AGO; ATG; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CYM; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FRO; FJI; FIN; FRA; PYF; GAB; GMB; GEO; DEU; GHA; GIB; GRC; GRL; GRD; GUM; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MAC; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MCO; MNG; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NCL; NZL; NIC; NER; NGA; MNP; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RUS; RWA; WSM; SMR; SAU; SEN; SYC; SLE; SGP; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; SYR; TWN; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; TCA; TUV; UGA; UKR; ARE; GBR; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; CUW; IMN; MNE; SRB; SXM; SSD; XKX,csv; xlsx; pdf; html,"[Center for Global Development](https://twitter.com/CGDev);
    [Lee Crawfurd](https://twitter.com/leecrawfurd)",Policy Tracker,national; sub-national,2020-02-12,up-to-date,Governmental agencies; International organisations; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Think tanks
OECD Survey on Science and Innovation policy responses,https://stip.oecd.org/Covid.html,Research and Innovation, science and innovation policy responses as self-reported by national government ministries,AUS; AUT; BEL; BRA; CAN; CHL; CRI; CZE; DNK; EST; FIN; FRA; DEU; GRC; IRL; ISR; ITA; JPN; LVA; LTU; MEX; NLD; NZL; NOR; PER; PRT; RUS; RUS; ZAF; ESP; SWE; CHE; THA; TUR; GBR; EU, html; non-downloadable,[OECD Innovation](https://twitter.com/OECDinnovation),Policy Tracker,national,2020-01-01,2020-04-16,Governmental agencies; International organisations,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,OECD; International organisations
COVID-19 Social Science Research Tracker,https://github.com/natematias/covid-19-social-science-research/,Research and Innovation," new research about COVID 19, including published findings, pre-prints, projects underway, and projects at least at proposal stage. You can add your project via Google form.", worldwide; ARG; AUS; AUT; BGD; BEL; BRA; BGR; CAN; CHL; CHN; COL; HRV; CUB; CZE; DNK; ECU; EGY; FIN; FRA; DEU; GHA; GRC; HKG; HUN; ISL; IND; IDN; IRL; ISR; ITA; JAM; JPN; KOR; LBN; LBR; MYS; MLT; MEX; NLD; NZL; NER; NGA; NOR; OMN; PAK; PER; PHL; POL; PRT; ROU; RUS; SGP; ZAF; ESP; SWE; CHE; TWN; THA; TUR; UKR; GBR; USA; URY; VNM; XKX,csv; xlsx; pdf; html,"[Nathan Matias](https://twitter.com/natematias);
    [Alex Leavitt](https://twitter.com/alexleavitt)",Policy Tracker,national,2020-03-19,up-to-date,Academics,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
World Pandemic Research Network (WPRN),https://wprn.org/,Research and Innovation, collects research projects and maintains a searchable global directory of the scientific resources available on the societal and human impacts of the Covid-19 pandemic, worldwide, html; non-downloadable,[WPRN - World Pandemic Research Network](https://twitter.com/WPRN_org),Policy Tracker,national,2020-03-01,up-to-date,Academics; Think tanks,,worldwide,NGOs
COVID-19 Open Research Dataset (CORD-19),https://pages.semanticscholar.org/coronavirus-research,Research and Innovation," covers 52,000 scholarly articles, including over 41,000 with full text, about COVID-19 and the coronavirus family of viruses.", worldwide, pdf; json,[Allen Institute for AI](https://twitter.com/allen_ai),Policy Tracker,national,2020-03-13,up-to-date,Academics; Think tanks; International organisations,,worldwide,Think tanks
The Lens COVID19 datasets,https://about.lens.org/covid-19/,Research and Innovation," patent documents, scholarly research works' metadata and biological sequences from patents. The current patent data relates to previous viral outbreaks from SARS and MERS but patents for COVID-19 will be added once available.", worldwide, csv; json,[The Lens](https://twitter.com/TheLensOrg),Policy Tracker,national,2020-01-27,2020-05-19,Academics; Think tanks,,worldwide,Companies
"Dimensions COVID-19 publications, data sets, clinical trials",https://dimensions.figshare.com/articles/Dimensions_COVID-19_publications_datasets_and_clinical_trials/11961063,Research and Innovation," research outputs in medical and health science, such as journal articles, datasets and clinical trials", worldwide, xlsx,"[Dimensions](https://twitter.com/DSDimensions);
    [Digital Science](https://twitter.com/digitalsci)",Policy Tracker,national,2020-03-10,up-to-date,Academics; Think tanks,,worldwide,Companies
COVID Scholar,https://covidscholar.org/,Research and Innovation, search engine that uses natural language processing (NLP) to search on a set of research papers related to COVID-19. It also shows daily paper statistics on related research articles., worldwide, html; non-downloadable,[COVIDScholar](https://twitter.com/CovidScholar); [Kristin Persson](https://twitter.com/KPatBerkeley); [John Dagdelen](https://twitter.com/jmdagdelen),Policy Tracker,national,2020-01-01,up-to-date,Academics; Think tanks,,worldwide,Academics
Open Government Approaches to Tackling COVID-19,https://www.opengovpartnership.org/collecting-open-government-approaches-to-covid-19/,Research and Innovation; Collection of Sources," a list of open government approaches, such as citizen-led community responses, Building trust between government and citizens, Transparency over forecasting models and data, Digital platforms or apps, Tackling misinformation online", worldwide; ARG; AUS; AZE; BHR; BGD; BEL; BEN; BOL; BRA; BGR; CMR; CAN; CHL; CHN; COL; CRI; HRV; DMA; ECU; SLV; EST; FJI; FRA; GEO; DEU; GHA; GRC; GTM; HTI; HND; HKG; IND; IDN; IRL; ISR; ITA; JOR; KEN; KOR; KWT; LVA; LIE; LTU; MAC; MYS; MLI; MEX; MNG; MAR; NAM; NPL; NLD; NER; NGA; NOR; OMN; PAK; PAN; PRY; PER; PHL; PRT; REU; ROU; SGP; SVK; SOM; ZAF; ESP; LKA; CHE; TWN; THA; TUN; UGA; UKR; ARE; GBR; URY; VEN; JEY; SRB; USA,xlsx; csv,[Open Gov Partnership](https://twitter.com/opengovpart),Policy Tracker,national,2020-03-19,2021-05-23,Governmental agencies; Think tanks; Companies; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
OECD multilevel governance,https://read.oecd-ilibrary.org/view/?ref=128_128287-5agkkojaaa&title=The-territorial-impact-of-covid-19-managing-the-crisis-across-levels-of-government,Regions and Cities, measures taken by national and subnational governments to ensure effective coordination and support regions and cities.,worldwide; AUS; AUT; BEL; BRA; CAN; CHL; CHN; COL; CZE; DNK; EST; FIN; FRA; DEU; GRC; HKG; HUN; ISL; IND; IRL; ISR; ITA; JPN; KOR; LVA; LTU; LUX; MEX; NLD; NZL; NOR; POL; PRT; RUS; SGP; SVN; ESP; SWE; CHE; GBR; USA, pdf,"[OECD SMEs, Regions, Cities & Tourism](https://twitter.com/OECD_local)",Policy Tracker,national; sub-national,2020-03-20,2020-11-10,Governmental agencies; International organisations; Academics; Think tanks; Media,,worldwide; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Southeast Asia; North America; West Europe,OECD; International organisations
OECD cities responses,https://read.oecd-ilibrary.org/view/?ref=126_126769-yen45847kf&title=Coronavirus-COVID-19-Cities-Policy-Responses,Regions and Cities; Non-Pharmaceutical Interventions; Health and Care Policy, policy responses taken by cities. They are structured by i) communication & awareness raising ii) workplace & commuting iii) social distance iv) vulnerable groups v) local service delivery vi) support to business., worldwide; AUT; BRA; CAN; CHN; FRA; ISL; ISR; ITA; JPN; MEX; PRT; RUS; USA; GRC; ESP; PER; SVN; GBR; BEL; ZAF; KOR; DEU; ARG; SVK; COL, pdf,"[OECD SMEs, Regions, Cities & Tourism](https://twitter.com/OECD_local);
        [Akhmouch Aziza](https://twitter.com/Akhmouch)",Policy Tracker,sub-national,2020-03-27,2020-07-20,Governmental agencies; Media,,worldwide; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; North America; West Europe,OECD; International organisations
Resources State and Local Government Practitioners,https://medium.com/covid-19-public-sector-resources,Regions and Cities, policy solutions on a state-level and on a local-level., USA, html; non-downloadable,"[Harvard Ash Center](https://twitter.com/HarvardAsh);
        [Harvard Kennedy School](https://twitter.com/Kennedy_School)",Policy Tracker,national; sub-national,2020-05-01,2020-11-20,Academics,,North America,Academics
"GovPredict Federal, State, and Local Responses to the Coronavirus",https://www.govpredict.com/corona-virus-resource-center,Regions and Cities," federal bills, state bills, governor orders, local documents on a federal-level, a state-level, a county-level and on a city-level.", USA, html; non-downloadable,[GovPredict](https://twitter.com/GovPredict),Policy Tracker,national; sub-national,2020-03-11,up-to-date,Governmental agencies,,North America,Companies
COVID-19: Innovative responses update,https://oecd-opsi.org/covid-19-innovative-responses-update-2/,Regions and Cities; Research and Innovation, innovative government responses,BRA; CZE; DNK; DEU; IRL; LVA; MEX; NZL; NOR; PAN; PRT; SVN; SRB, html; non-downloadable,"[OECD Observatory of Public Sector Innovation](https://twitter.com/OPSIgov);
        [Alex Roberts](https://twitter.com/CaptainInnovate);
        [Sam A Nutt](https://twitter.com/SamANutt);
        [Angela Hanson](https://twitter.com/civiccatalyst);
        [Heather Buisman](https://twitter.com/hbuisma)",Policy Tracker,national,2020-03-20,2021-05-19,Media,,West Europe; Eastern Europe & Central Asia; Latin America & the Caribbean,OECD; International organisations
OECD SME policy responses,https://read.oecd-ilibrary.org/view/?ref=119_119680-di6h3qgi4x&title=Covid-19_SME_Policy_Responses,Macroeconomic and Financial Policy," policies that are targeted at SMEs. Measures range from tax deferrals and loan guarantees to direct lending and wage
subsidies.", worldwide; USA; ARG; AUS; AUT; BEL; BRA; CAN; CHL; CHN; COL; CRI; HRV; CZE; DNK; EGY; EST; FIN; FRA; DEU; GRC; HKG; HUN; ISL; IND; IDN; IRL; ISR; ITA; JPN; LVA; LTU; MYS; MEX; NLD; NZL; NOR; OMN; POL; PRT; ROU; RUS; SAU; SGP; SVN; ZAF; ESP; SWE; CHE; THA; TUR; GBR; VNM, pdf,"[OECD SMEs, Regions, Cities & Tourism](https://twitter.com/OECD_local)",Policy Tracker,national,2020-02-10,2020-07-15,Governmental agencies; International organisations; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,OECD; International organisations
OECD tourism,https://read.oecd-ilibrary.org/view/?ref=124_124984-7uf8nm95se&Title=Covid-19:%20Tourism%20Policy%20Responses,Macroeconomic and Financial Policy, impact on tourism and policy responses to support the tourism industry, worldwide; AUS; AUT; BEL; BRA; BGR; CAN; CHL; COL; CRI; HRV; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ISR; ITA; JPN; LVA; LTU; MEX; NLD; NZL; NOR; OMN; POL; PRT; ROU; SAU; ZAF; ESP; SWE; CHE; TUR; GBR; USA, pdf,"[OECD SMEs, Regions, Cities & Tourism](https://twitter.com/OECD_local)",Policy Tracker,national,2020-03-11,2020-06-02,International organisations; Think tanks; Media; Companies; other trackers,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; North America; West Europe,OECD; International organisations
Google Covid-19 Community Mobility Reports,https://www.google.com/covid19/mobility/,Behavioural Responses and Mobility," mobility trends over time by geography, across different categories of places such as retail and recreation, groceries and pharmacies, parks, transit stations, workplaces, and residential. Data is sourced from Google Apps such as Google Maps.",worldwide; AFG; AGO; ATG; ARG; ABW; AUS; AUT; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BOL; BIH; BWA; BRA; BGR; BFA; KHM; CMR; CAN; CPV; CHL; COL; CRI; HRV; DNK; DMA; DOM; ECU; EGY; SLV; EST; FJI; FIN; FRA; GAB; GEO; DEU; GHA; GRC; GTM; GIN; GNB; HTI; HND; HKG; HUN; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KOR; KWT; KGZ; LVA; LBN; LBY; LIE; LTU; LUX; MYS; MLI; MLT; MUS; MEX; MNG; MAR; MOZ; MMR; NAM; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RWA; SAU; SEN; SGP; SVK; SVN; ZAF; ESP; LKA; SWE; CHE; TWN; TJK; THA; TGO; TTO; TUR; UGA; UKR; ARE; GBR; URY; VEN; VNM; YEM; ZMB; ZWE; SRB; USA, csv; pdf,"[Google](https://twitter.com/Google);
[Google Maps](https://twitter.com/googlemaps)",Policy Tracker,national; sub-national,2020-02-15,up-to-date,Companies,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Companies
Apple Mobility Trends Reports,https://www.apple.com/covid19/mobility,Behavioural Responses and Mobility," mobility trends on a national, a state-level and a city-level. Data can be separated by walking, driving and public transport. Data reflect relative volume of directions requests compared to a baseline volume on 13 January 2020.",worldwide; USA; ALB; ARG; AUS; AUT; BEL; BRA; BGR; KHM; CAN; CHL; COL; HRV; CZE; DNK; EGY; EST; FIN; FRA; GEO; DEU; GRC; GRD; GUM; HKG; HUN; ISL; IND; IDN; IRL; ISR; ITA; JPN; LVA; LBN; LTU; LUX; MAC; MYS; MEX; MAR; NLD; NZL; NOR; OMN; PHL; POL; PRT; PRI; ROU; RUS; SAU; SGP; SVK; SVN; ZAF; ESP; SWE; CHE; TWN; THA; TUR; UKR; ARE; GBR; URY; VNM; GGY; IMN; JEY; SRB, csv; html,[Apple](https://twitter.com/Apple),Policy Tracker,national; sub-national,2020-01-13,up-to-date,Companies,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Companies
The Dallas Fed Social Distancing Index,https://www.dallasfed.org/research/sdi.aspx,Behavioural Responses and Mobility,"data is available on a federal level, a state-level, a county-level and on a city-level. The index summarises the information in seven different variables based on geolocation data collected from a large sample of mobile devices: 1. The fraction of devices leaving home in a day; 2. The fraction of devices away from home for 3-6 hours at a fixed location; 3. The fraction of devices away from home longer than 6 hours at a fixed location; 4. An adjusted average of daytime hours spent at home; 5. The fraction of devices taking trips longer than 16 kilometers; 6. The fraction of devices taking trips less than 2 kilometers; and 7. The average time spent at locations far from home.",USA, csv,[Dallas Fed](https://twitter.com/DallasFed),Policy Tracker,national; sub-national,2020-01-04,2021-03-31,Governmental agencies,,North America,Governmental agencies
Global overview of COVID-19: Impact on elections,https://www.idea.int/news-media/multimedia-reports/global-overview-covid-19-impact-elections,"Politics, Elections, Policy Making", compiles a list of elections postponed due to the outbreak of COVID-19 and of elections held despite the outbreak.,worldwide; AIA; ARG; ARM; AUS; AUT; BGD; BLR; BLZ; BEN; BOL; BIH; BWA; BRA; BFA; BDI; CMR; CAN; TCD; CHL; CHN; COL; HRV; CYP; CZE; DMA; DOM; EGY; ETH; FRA; GUF; GAB; GMB; GEO; DEU; GIB; GUM; GIN; GUY; HND; HKG; ISL; IND; IDN; IRL; ISR; ITA; JPN; JOR; KEN; KIR; KOR; KGZ; LVA; LBR; LTU; MWI; MYS; MDV; MLI; MEX; MNG; MMR; NCL; NZL; NER; NGA; NIU; OMN; PAK; PNG; PRY; PER; POL; PRI; ROU; RUS; RWA; KNA; SYC; SGP; SVK; SLB; ZAF; ESP; LKA; SUR; CHE; TWN; TJK; TGO; TUN; UGA; UKR; GBR; URY; VUT; ZWE; GGY; IMN; MNE; SRB; XKX; USA, html; non-downloadable,[International Institute for Democracy & Electoral Assistance](https://twitter.com/Int_IDEA),Policy Tracker,national,2020-03-18,up-to-date,Governmental agencies; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
Open COVID-19 policy dataset,https://blog.overton.io/blog/2020/03/31/open-covid-19-policy-dataset/,"Politics, Elections, Policy Making"," policy documents from Think tanks, policy orientated NGOss, IOs and national governments",worldwide, pdf; json,[Overton](https://twitter.com/overtonio); [Euan Adie](https://twitter.com/Stew),Policy Tracker,national,2020-01-01,2020-03-31,Governmental agencies; International organisations,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
COVID-19 Policy-Making Tracker,https://www.ingsa.org/covid/policymaking-tracker/,"Politics, Elections, Policy Making"," how policy interventions are being made by collecting advice, evidence or other justifications that underpin governments' decisions", worldwide, html; non-downloadable,"[International Network for Government Science Advice (INGSA)](https://twitter.com/INGSciAdvice);
   [International Science Council](https://twitter.com/ISC);
   [Peter Gluckman](https://twitter.com/PeterGluckman);
   [James Wilsdon](https://twitter.com/jameswilsdon);
   [Rémi Quirion](https://twitter.com/SciChefQC)",Policy Tracker,national,2020-01-17,2021-02-21,Governmental agencies; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Companies
COVID19 Civic Freedom Tracker,https://www.icnl.org/covid19tracker/,Civic Freedom and Human Rights; Media, government responses that affect civicfreedoms and humanrights, worldwide; USA; ALB; DZA; AGO; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BLR; BEL; BLZ; BEN; BOL; BIH; BWA; BRA; BGR; BFA; KHM; CMR; CAN; CPV; TCD; CHL; CHN; COL; COM; COG; CRI; CIV; HRV; CZE; DNK; DMA; DOM; ECU; EGY; SLV; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRL; GRD; GTM; GIN; GNB; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KOR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MWI; MYS; MLI; MRT; MUS; MEX; MAR; MOZ; MMR; NAM; NPL; NLD; NZL; NER; NGA; NOR; OMN; PAK; PAN; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RUS; RWA; LCA; WSM; SMR; SEN; SLE; SGP; SVK; SVN; SLB; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TWN; THA; TGO; TON; TUN; TUR; UGA; UKR; ARE; GBR; UZB; VEN; VNM; YEM; ZMB; ZWE; JEY; MNE; SRB; SSD, html; non-downloadable,"[International Center for Not-for-Profit Law (ICNL)](https://twitter.com/ICNLAlliance);
  [European Center for Not-for-Profit Law (ECNL)](https://twitter.com/enablingNGOslaw);
  [Fionnuala Ni Aolain](https://twitter.com/NiAolainF)",Policy Tracker,national,2020-01-26,2021-05-06,Governmental agencies; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,NGOs
